Code,LA_name,Bed based intermediate Care Services,Reablement in a persons own home,LA_code.x,area_code,region_code,region_name,metric,value,date,over_65_pop.x,reablement_BCF_percapita,reablement_BCF_per65s,LA_code.y,episodes_over65,over_65_pop.y,population,per_cap
E06000001,Hartlepool,995820,633569,E06000001,111,E12000001,North East,Population,72703,2023-03-31,18336,8.714482208437065,34.553283158813265,E06000001,1160,18336,72703,63.26352530541013
E06000002,Middlesbrough,1985013,1237522,E06000002,112,E12000001,North East,Population,110293,2023-03-31,24369,11.22031316584008,50.78263367392999,E06000002,330,24369,110293,13.541794903360827
E06000003,Redcar and Cleveland,2874768,2377423,E06000003,113,E12000001,North East,Population,109427,2023-03-31,31937,21.72610964387217,74.44102451701788,E06000003,445,31937,109427,13.933681936312114
E06000004,Stockton-on-Tees,2005021.349142028,1532758.9831393799,E06000004,114,E12000001,North East,Population,153852,2023-03-31,37518,9.962554813323063,40.85396298148569,E06000004,500,37518,153852,13.32693640385948
E06000005,Darlington,3323055,1998758,E06000005,117,E12000001,North East,Population,85969,2023-03-31,22271,23.24975281787621,89.74711508239415,E06000005,715,22271,85969,32.104530555430834
E06000006,Halton,402691,4244386.49,E06000006,321,E12000002,North West,Population,101041,2023-03-31,24176,42.00657643926723,175.56198254467242,E06000006,315,24176,101041,13.029450694904037
E06000007,Warrington,4271196.209445417,5072875.424858159,E06000007,322,E12000002,North West,Population,168183,2023-03-31,40362,30.162831111694757,125.68444142654377,E06000007,2265,40362,168183,56.11713988404935
E06000008,Blackburn with Darwen,2770568,2315058,E06000008,324,E12000002,North West,Population,115174,2023-03-31,22550,20.10052616041815,102.66332594235033,E06000008,465,22550,115174,20.620842572062084
E06000009,Blackpool,4563258,NA,E06000009,325,E12000002,North West,Population,113144,2023-03-31,29362,NA,NA,E06000009,820,29362,113144,27.92725291192698
E06000010,"Kingston upon Hull, City of",3682863,2009391,E06000010,215,E12000003,Yorkshire and The Humber,Population,207415,2023-03-31,NA,9.687780536605356,NA,E06000010,420,NA,207415,NA
E06000011,East Riding of Yorkshire,NA,2860643,E06000011,214,E12000003,Yorkshire and The Humber,Population,281653,2023-03-31,91065,10.156621800584407,31.413199363092296,E06000011,990,91065,281653,10.871355625102948
E06000012,North East Lincolnshire,2665981,4220288,E06000012,216,E12000003,Yorkshire and The Humber,Population,124180,2023-03-31,33040,33.98524722177484,127.73268765133172,E06000012,375,33040,124180,11.349878934624698
E06000013,North Lincolnshire,2458142.8258922417,2964000,E06000013,217,E12000003,Yorkshire and The Humber,Population,135873,2023-03-31,37516,21.814488529729967,79.00629064932295,E06000013,1150,37516,135873,30.653587802537583
E06000014,York,675860,1505078,E06000014,219,E12000003,Yorkshire and The Humber,Population,166999,2023-03-31,39000,9.012497080820843,38.59174358974359,E06000014,410,39000,166999,10.512820512820513
E06000015,Derby,2418767.0601140494,2594166.392017453,E06000015,507,E12000004,East Midlands,Population,202543,2023-03-31,43052,12.807978513290772,60.25658255173867,E06000015,1050,43052,202543,24.389110842701847
E06000016,Leicester,NA,4352982.941705225,E06000016,509,E12000004,East Midlands,Population,279351,2023-03-31,43791,15.582485624555577,99.40359758181418,E06000016,880,43791,279351,20.09545340366742
E06000017,Rutland,74150,106717,E06000017,510,E12000004,East Midlands,Population,33372,2023-03-31,10386,3.1978005513604217,10.275081840939727,E06000017,265,10386,33372,25.515116502984785
E06000018,Nottingham,NA,8154538,E06000018,512,E12000004,East Midlands,Population,253657,2023-03-31,38098,32.14789262665726,214.0411045199223,E06000018,1245,38098,253657,32.67888078114336
E06000019,"Herefordshire, County of",796656.8886419504,3081269.6647692355,E06000019,415,E12000005,West Midlands,Population,153762,2023-03-31,NA,20.03921427120638,NA,E06000019,550,NA,153762,NA
E06000020,Telford and Wrekin,4653376,585535,E06000020,418,E12000005,West Midlands,Population,144424,2023-03-31,NA,4.05427768237966,NA,E06000020,1550,NA,144424,NA
E06000021,Stoke-on-Trent,70000,9751430,E06000021,414,E12000005,West Midlands,Population,199659,2023-03-31,44568,48.84042292108044,218.7989140190271,E06000021,180,44568,199659,4.038772213247173
E06000022,Bath and North East Somerset,4895364,17771292,E06000022,908,E12000009,South West,Population,156672,2023-03-31,37732,113.42991727941177,470.98727870242766,E06000022,340,37732,156672,9.010919113749603
E06000023,"Bristol, City of",2338987.867143,4721683.627597,E06000023,909,E12000009,South West,Population,379507,2023-03-31,NA,12.441624601382848,NA,E06000023,1150,NA,379507,NA
E06000024,North Somerset,NA,NA,E06000024,910,E12000009,South West,Population,174551,2023-03-31,52198,NA,NA,E06000024,235,52198,174551,4.502088202613127
E06000025,South Gloucestershire,NA,1349556,E06000025,911,E12000009,South West,Population,231506,2023-03-31,54565,5.829464463124066,24.732997342618894,E06000025,475,54565,231506,8.705213964995876
E06000026,Plymouth,7018388,1182000,E06000026,913,E12000009,South West,Population,213093,2023-03-31,49290,5.546873900128113,23.980523432744977,E06000026,720,49290,213093,14.607425441265978
E06000027,Torbay,1177866,1347450,E06000027,914,E12000009,South West,Population,114262,2023-03-31,37324,11.792634471652867,36.10143607330404,E06000027,2570,37324,114262,68.85649983924552
E06000030,Swindon,385025.04,2190555.9364,E06000030,819,E12000009,South West,Population,182300,2023-03-31,37382,12.016214681294569,58.59921717404098,E06000030,565,37382,182300,15.11422609812209
E06000031,Peterborough,NA,250000,E06000031,624,E12000006,East of England,Population,162624,2023-03-31,30796,1.5372884691066508,8.117937394466814,E06000031,585,30796,162624,18.995973503052344
E06000032,Luton,519713.670602798,444470.15766294993,E06000032,611,E12000006,East of England,Population,166103,2023-03-31,26429,2.6758707408231635,16.81751703291649,E06000032,465,26429,166103,17.594309281471112
E06000033,Southend-on-Sea,3371057,2240024,E06000033,621,E12000006,East of England,Population,142589,2023-03-31,34668,15.70965502247719,64.61359178493134,E06000033,990,34668,142589,28.556593977154723
E06000034,Thurrock,7472124.779999999,NA,E06000034,622,E12000006,East of England,Population,131814,2023-03-31,23953,NA,NA,E06000034,275,23953,131814,11.48081659917338
E06000035,Medway,4897589,99232,E06000035,821,E12000008,South East,Population,216012,2023-03-31,NA,0.4593818861915079,NA,E06000035,1925,NA,216012,NA
E06000036,Bracknell Forest,1022456,4224818,E06000036,614,E12000008,South East,Population,97346,2023-03-31,19009,43.40001643621721,222.2535641012152,E06000036,435,19009,97346,22.883897101373034
E06000037,West Berkshire,2005395,2912630,E06000037,615,E12000008,South East,Population,127258,2023-03-31,31789,22.887598422103128,91.62383214319419,E06000037,805,31789,127258,25.323225014942274
E06000038,Reading,1761264.7665,6181661.181153201,E06000038,616,E12000008,South East,Population,136871,2023-03-31,21100,45.164141280133855,292.96972422527017,E06000038,500,21100,136871,23.696682464454973
E06000039,Slough,NA,3135646,E06000039,617,E12000008,South East,Population,114574,2023-03-31,15411,27.36786705535287,203.46804230744274,E06000039,330,15411,114574,21.41327623126338
E06000040,Windsor and Maidenhead,490850,3589060,E06000040,618,E12000008,South East,Population,119999,2023-03-31,28510,29.90908257568813,125.8877586811645,E06000040,325,28510,119999,11.399508944230094
E06000041,Wokingham,1953538,1630632,E06000041,619,E12000008,South East,Population,137019,2023-03-31,30779,11.900772885512229,52.97871925663602,E06000041,1845,30779,137019,59.94346794892621
E06000042,Milton Keynes,5151239,480000,E06000042,613,E12000008,South East,Population,218569,2023-03-31,39924,2.1961028325151326,12.022843402464684,E06000042,950,39924,218569,23.79521090071135
E06000043,Brighton and Hove,595000,117449,E06000043,816,E12000008,South East,Population,229216,2023-03-31,39230,0.5123944227279073,2.9938567422890645,E06000043,235,39230,229216,5.990313535559521
E06000044,Portsmouth,5826000,4350000,E06000044,813,E12000008,South East,Population,165422,2023-03-31,30938,26.29638137611684,140.6037882216045,E06000044,400,30938,165422,12.929083974400413
E06000045,Southampton,NA,98000,E06000045,814,E12000008,South East,Population,197938,2023-03-31,34393,0.49510452768038477,2.8494170325356905,E06000045,1215,34393,197938,35.32695606664147
E06000046,Isle of Wight,5265153,2443266,E06000046,803,E12000008,South East,Population,117247,2023-03-31,41300,20.83862273661586,59.15898305084746,E06000046,710,41300,117247,17.19128329297821
E06000047,County Durham,6947720,1500409,E06000047,116,E12000001,North East,Population,422389,2023-03-31,NA,3.552197145285507,NA,E06000047,2570,NA,422389,NA
E06000049,Cheshire East,20309683,5057605,E06000049,326,E12000002,North West,Population,322111,2023-03-31,89985,15.701435219536123,56.204978607545705,E06000049,2350,89985,322111,26.11546368839251
E06000050,Cheshire West and Chester,10926029.822462272,2793587.99,E06000050,327,E12000002,North West,Population,288272,2023-03-31,76299,9.690805870844203,36.613690742997946,E06000050,560,76299,288272,7.339545734544359
E06000051,Shropshire,5068102.18999164,2307380,E06000051,417,E12000005,West Midlands,Population,266291,2023-03-31,82656,8.664881652027294,27.91545683313976,E06000051,2060,82656,266291,24.92257065427797
E06000052,Cornwall & Scilly,8884000,5647512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E06000054,Wiltshire,8251452.17250725,7432537.908624751,E06000054,817,E12000009,South West,Population,410201,2023-03-31,112461,18.1192583846084,66.08991480268493,E06000054,630,112461,410201,5.6019420065622745
E06000055,Bedford,691250,NA,E06000055,625,E12000006,East of England,Population,144255,2023-03-31,31274,NA,NA,E06000055,425,31274,144255,13.589563215450536
E06000056,Central Bedfordshire,9345703.041953657,3729195.626,E06000056,626,E12000006,East of England,Population,231424,2023-03-31,53246,16.114126564228428,70.03710374488224,E06000056,485,53246,231424,9.10866543965744
E06000057,Northumberland,2559679.17,3788122.521429113,E06000057,104,E12000001,North East,Population,263129,2023-03-31,82281,14.396446311235604,46.03884884030472,E06000057,1410,82281,263129,17.136398439493927
E06000058,"Bournemouth, Christchurch and Poole",1123000,1681000,E06000058,738,E12000009,South West,Population,326798,2023-03-31,86859,5.14385032956138,19.353204618980186,E06000058,1030,86859,326798,11.858299082420936
E06000059,Dorset,NA,NA,E06000059,809,E12000009,South West,Population,315267,2023-03-31,113053,NA,NA,E06000059,1215,113053,315267,10.747171680539218
E06000060,Buckinghamshire,650000,2118666,E06000060,916,E12000008,South East,Population,431664,2023-03-31,104469,4.908136884243301,20.280331964506217,E06000060,740,104469,431664,7.083441020781284
E06000061,North Northamptonshire,NA,9802188,E06000061,Z9D4Z,E12000004,East Midlands,Population,281200,2023-03-31,65616,34.85842105263158,149.3871616678859,E06000061,900,65616,281200,13.71616678858815
