date,metric,episodes
2023-03-31,"Early Cessation of Service, NHS-funded, deceased",12385
2023-03-31,"Early Cessation of Service, not leading to long term support",28815
2023-03-31,"Early Cessation of Service, leading to long term support",4965
2023-03-31,Long Term Support,37245
2023-03-31,"No services provided, needs identified but self funding",7525
2023-03-31,Ongoing Low Level Support,12030
2023-03-31,Short Term Support,20910
2023-03-31,"No services provided, needs identified but support declined",5025
2023-03-31,"No services provided, signposted to other services",16620
2023-03-31,"No services provided, no identified needs",79545
